the,a
departure,partida
delivered,entregue
gift,Presente
ruin,ruína
skill,habilidade
cattle,gado
equipment,equipamento
temple,têmpora
calls,chamadas
earlier,mais cedo
license,licença
visited,visitado
en,pt
consent,consentimento
sufficiently,suficientemente
natives,nativos
wound,ferida
laughter,risada
contained,contido
perceived,percebido
scattered,espalhado
whence,de onde
rushed,apressado
chiefly,principalmente
bold,negrito
anywhere,qualquer lugar
witness,testemunha
foolish,Insensato
helped,ajudou
kitchen,cozinha
sell,vender
anybody,qualquer pessoa
self,auto
extremely,extremamente
treatment,tratamento
throat,garganta
dreams,sonhos
patient,paciente
speed,Rapidez
growth,crescimento
quantity,quantidade
Latin,latim
immense,imenso
conclusion,conclusão
computer,computador
affected,afetado
severe,forte
excuse,com licença
triumph,triunfo
origin,origem
Joseph,Joseph
slept,dormisse
eternal,eterno
thine,teus
audience,público
pages,Páginas
sounds,sons
swift,rápido
limited,limitado
wings,asas
stepped,pisou
services,Serviços
library,biblioteca
remaining,remanescente
containing,contendo
base,base
confusion,confusão
win,ganhar
maid,empregada
charming,encantador
editions,edições
attended,participaram
softly,suavemente
reality,realidade
performed,realizado
glorious,glorioso
likewise,Da mesma forma
site,local
sail,velejar
frightened,com medo
acquainted,familiarizado
unhappy,infeliz
feared,temido
article,artigo
prisoners,prisioneiros
store,loja
adopted,adotado
shalt,Obediente
remark,observação
cook,cozinheiro
thousands,milhares
pause,pausa
inclined,inclinado
convinced,convencido
band,banda
valuable,de valor
hence,portanto
desert,deserto
effects,efeitos
kiss,beijo
plant,plantar
ice,gelo
ball,bola
stick,bastão
absolute,absoluto
readily,prontamente
behold,contemplar
fierce,feroz
argument,argumento
observe,observar
blessed,abençoado
bosom,seio
rage,raiva
striking,impressionante
discovery,descoberta
creatures,criaturas
shouted,gritou
guilty,culpado
related,relacionado
setting,contexto
forgot,esquecido
punishment,punição
gun,arma de fogo
slightly,levemente
articles,artigos
police,polícia
mysterious,misterioso
extended,estendido
confess,confessar
shade,sombra
murder,assassinato
emotion,emoção
destruction,destruição
wondered,perguntou
increasing,aumentando
hide,ocultar
expedition,expedição
horror,Horror
local,local
expenses,despesas
ignorant,ignorante
doctrine,doutrina
generous,generoso
range,alcance
host,hospedeiro
wet,molhado
cloud,nuvem
mystery,mistério
Ed,Ed
waste,desperdício
changes,alterar
possess,possuir
consciousness,consciência
February,fevereiro
trembling,tremendo
disease,doença
formerly,antigamente
spend,gastar
production,Produção
source,fonte
mankind,humanidade
universal,universal
deck,área coberta
sees,vê
habits,hábitos
estate,Estado
aunt,tia
reign,reinado
humble,humilde
compliance,conformidade
delay,atraso
shining,brilhando
reported,relatado
hers,dela
unfortunate,infeliz
midnight,meia-noite
listening,audição
flower,Flor
hero,herói
accomplished,realizado
doth,acaso
classes,Aulas
thanks,obrigado
banks,bancos
philosophy,filosofia
belong,pertencer
finger,dedo
comfortable,confortável
market,mercado
cap,boné
waves,ondas
woman's,de mulher
glanced,olhou
troubled,perturbado
difficulties,dificuldades
picked,escolhido
European,europeu
purposes,propósitos
somewhere,algum lugar
delighted,encantado
pushed,empurrado
press,pressione
household,doméstico
fleet,frota
baby,bebê
region,região
lately,ultimamente
uttered,pronunciou
exact,exato
image,imagem
ages,idades
murmured,murmurou
melancholy,melancólico
suspicion,suspeita
bowed,curvado
refuse,recusar
Elizabeth,Isabel
staff,funcionários
liability,responsabilidade
we'll,Nós vamos
enjoyed,curtiu
stretched,esticado
gaze,olhar
belonged,pertencia
ashamed,envergonhado
reward,recompensa
meal,refeição
blame,culpa
nodded,assentiu
status,status
opinions,opiniões
indicate,indicar
poem,poema
savage,selvagem
arise,surgir
voyage,viagem
misery,miséria
guests,convidados
painted,pintado
attend,participar
afford,dispor
donate,doar
job,trabalho
proceed,Continuar
loves,O amor é
forehead,testa
regret,arrepender
plainly,claramente
risk,risco
ad,de Anúncios
lighted,iluminado
angel,anjo
rapid,rápido
distinct,distinto
doubtless,sem dúvida
properly,devidamente
wit,sagacidade
fame,fama
singular,singular
error,erro
utmost,máximo
methods,métodos
reputation,reputação
appeal,apelo
she's,ela é
w,C
strongly,fortemente
Margaret,Margarida
lack,falta
breaking,quebra
dawn,alvorecer
violence,violência
fatal,fatal
render,renderizar
career,carreira
design,Projeto
displayed,exibido
gets,fica
commercial,comercial
forgive,perdoar
lights,luzes
agreeable,agradável
suggestion,sugestão
utter,total
sheep,ovelha
resolution,resolução
spare,poupar
patience,paciência
domestic,doméstico
concluded,concluiu
'tis,é
farm,Fazenda
reference,referência
Chinese,chinês
exist,existir
corn,milho
approaching,Aproximando
alike,parecido
mounted,montado
Jane,Jane
issue,emitir
key,chave
providing,fornecendo
majority,maioria
measures,medidas
towns,cidades
flame,chama
Boston,Boston
dared,ousou
ignorance,ignorância
reduced,reduzido
occasionally,ocasionalmente
y,y
weakness,fraqueza
furnished,mobiliado
china,China
priests,sacerdotes
flying,vôo
cloth,pano
gazed,olhou
profit,lucro
fourth,quarto
bell,Sino
hitherto,até agora
benefit,beneficiar
movements,movimentos
eagerly,ansiosamente
acted,agiu
urged,incitado
ascii,ascii
disposed,descartado
electronically,eletronicamente
atmosphere,atmosfera
chapter,capítulo
begged,implorou
Helen,Helena
hole,buraco
invited,convidamos
borne,suportado
departed,partiu
catholic,católico
files,arquivos
reasonable,razoável
sugar,açúcar
replacement,substituição
sigh,suspirar
humanity,humanidade
thrust,impulso
frame,quadro
opposition,oposição
disk,disco
haste,pressa
lonely,sozinho
artist,artista
knight,Cavaleiro
quarters,quartos
charm,charme
substance,substância
rolled,enrolado
email,o email
flung,arremessado
celebrated,célebre
division,divisão
slavery,escravidão
verse,versículo
decision,decisão
probable,provável
painful,doloroso
governor,governador
forever,para todo sempre
turns,voltas
branch,ramo
ocean,oceano
rear,traseira
leader,líder
delightful,delicioso
stared,encarou
boats,barcos
keen,ansioso
disposition,disposição
senses,sentidos
occasions,ocasiões
readable,legível
beloved,Amado
inches,polegadas
bones,ossos
enthusiasm,entusiasmo
materials,materiais
luck,sorte
derived,derivado
managed,gerenciou
community,comunidade
apparent,aparente
preserved,preservado
magnificent,magnífico
hurry,pressa
scheme,esquema
oil,óleo
thence,daí
reaching,alcançando
dim,escurecer
wretched,miserável
hanging,pendurado
pipe,tubo
useless,sem utilidade
nevertheless,mesmo assim
print,imprimir
smooth,suave
solid,sólido
pursued,perseguido
necessarily,necessariamente
build,Construir
attempted,tentada
centuries,séculos
eggs,ovos
equivalent,equivalente
hastily,precipitadamente
burned,queimado
you'd,você faria
recent,recente
oh,Oh
travel,viajar por
cries,chora
noon,meio-dia
crying,choro
generations,gerações
located,localizado
cabin,cabine
announcement,anúncio
Britain,Grã-Bretanha
compared,comparado
handed,entregue
cease,cessar
smaller,menor
circumstance,circunstância
tent,barraca
frequent,freqüente
alarm,alarme
nervous,nervoso
beast,fera
what's,o que é
aloud,em voz alta
independent,independente
gates,portões
distinction,distinção
essential,essencial
observation,observação
stronger,mais forte
recovered,recuperado
belonging,pertencente
loving,amoroso
masters,mestres
writers,escritoras
cf.,cf.
permanent,permanente
mortal,mortal
stern,popa
gratitude,gratidão
preserve,preservar
burden,fardo
aspect,aspecto
millions,milhões
merry,alegre
knife,faca
dread,temor
clever,esperto
applicable,aplicável
district,distrito
shadows,sombras
Jim,Jim
silk,seda
failure,fracasso
links,links
cent,centavo
sentiment,sentimento
amid,Entre
profits,lucros
agent,agente
finds,encontra
Russia,Rússia
bade,mandar
Russian,russo
desperate,desesperado
union,União
imagined,imaginado
contempt,desprezo
raising,subindo
lords,senhores
hell,inferno
separated,separado
grant,conceder
seriously,a sério
tribes,tribos
hit,bater
enormous,enorme
defective,defeituoso
conviction,convicção
secured,seguro
mixed,misturado
insisted,insistiu
wooden,de madeira
prefer,preferir
prayers,orações
fever,febre
selected,selecionado
daughters,filhas
treat,tratar
warning,aviso
flew,voou
speaks,fala
developed,desenvolvido
impulse,impulso
slipped,escorregou
ours,nosso
Johnson,Johnson
mistaken,enganado
damages,danos
ambition,ambição
resumed,retomado
christmas,Natal
yield,colheita
ideal,ideal
schools,escolas
confirmed,confirmado
descended,desceu
rush,correr
falls,cai
deny,negar
calculated,calculado
correct,correto
perform,executar
hadn't,não tinha
somehow,de alguma maneira
accordingly,adequadamente
stayed,ficou
acquired,adquirido
counsel,conselho
distress,sofrimento
sins,pecados
notion,noção
discussion,discussão
constitution,constituição
Anne,Ana
hundreds,centenas
instrument,instrumento
firmly,firmemente
actions,ações
steady,estável
remarks,observações
empire,Império
elements,elementos
idle,parado
pen,caneta
entering,entrando
online,conectados
Africa,África
permit,permitir
th',º'
tide,maré
vol,volume
leaned,inclinado
college,escola Superior
maintain,manter
sovereign,soberano
tail,cauda
generation,geração
crowded,lotado
fears,medos
nights,noites
limitation,limitação
tied,amarrado
horrible,horrível
cat,gato
displaying,exibindo
port,porta
male,macho
experienced,com experiência
opposed,oposição
treaty,tratado
contents,conteúdo
rested,descansado
mode,modo
poured,derramado
les,les
occur,ocorrer
seeking,buscando
practically,praticamente
abandoned,abandonado
reports,relatórios
eleven,onze
sank,afundou
begins,começa
founded,fundado
brings,traz
trace,vestígio
instinct,instinto
collected,coletado
Scotland,Escócia
characteristic,característica
chose,escolheu
cheerful,Alegre
tribe,tribo
costs,custos
threatened,ameaçado
arrangement,arranjo
western,ocidental
sang,cantou
beings,seres
Sam,Sam
pressure,pressão
politics,política
sorts,tipos
shelter,abrigo
rude,grosseiro
scientific,científico
revealed,revelado
winds,ventos
riding,equitação
scenes,cenas
shake,sacudir
industry,indústria
claims,reivindicações
pp.,pág.
merit,mérito
profession,profissão
lamp,luminária
interview,entrevista
territory,território
sleeping,adormecido
sex,sexo
coffee,café
devotion,devoção
thereof,do mesmo
creation,criação
trail,trilha
Romans,Romanos
supported,suportado
requires,requer
fathers,pais
prospect,perspectiva
obey,obedecer
Alexander,Alexandre
shone,brilhou
operation,Operação
northern,norte
nurse,enfermeira
profound,profundo
hungry,com fome
Scott,Scott
sisters,irmãs
assure,assegurar
exceedingly,extremamente
match,Combine
wrath,fúria
continually,continuamente
rest.,descanso.
gifts,presentes
folly,loucura
chain,cadeia
uniform,uniforme
debt,dívida
teaching,ensino
venture,risco
execution,execução
shoes,sapatos
mood,humor
crew,equipe técnica
perceive,perceber
accounts,contas
eating,comendo
multitude,multidão
declare,declarar
yard,Jardim
o'er,o'er
astonishment,espanto
version,versão
vague,vago
odd,ímpar
grateful,grato
nearest,mais próximo
infinite,infinito
elsewhere,em outro lugar
copying,copiando
apartment,apartamento
activity,atividade
wives,esposas
parted,separou-se
security,segurança
cared,cuidei
sensible,sensato
owing,devido
Martin,Martinho
Saturday,sábado
cottage,cabana
Jews,judeus
leaning,inclinado
capacity,capacidade
joe,joe
settle,resolver
referred,referido
Francis,Francisco
holder,suporte
involved,envolvido
sunshine,brilho do sol
Dutch,holandês
council,conselho
princes,príncipes
ate,comi
examination,exame
steel,aço
strangers,estranhos
beheld,contemplado
test,teste
noted,notado
slightest,mínimo
widow,viúva
charity,caridade
realized,percebi
element,elemento
shed,cabana
errors,erros
communication,comunicação
reflection,reflexão
attacked,atacado
organization,organização
maintained,mantido
restored,restaurado
folks,pessoal
concealed,escondido
accordance,conformidade
heavens,céus
star,Estrela
examined,examinado
deeds,atos
wordforms,formas de palavras
somebody,alguém
incident,incidente
oath,juramento
guest,hóspede
bar,bar
row,fileira
poverty,pobreza
bottle,garrafa
prevented,impedido
bless,abençoar
stir,mexer
intense,intenso
completed,concluído
quarrel,briga
touching,tocando
inner,interno
available,acessível
fix,consertar
resistance,resistência
unusual,incomum
deed,obra, ação
derive,derivar
hollow,oco
suspected,suspeito
contains,contém
sighed,suspirou
province,província
deserted,deserto
establishment,estabelecimento
vote,voto
muttered,murmurou
thither,para lá
oxford,Oxford
cavalry,cavalaria
lofty,sublime
endure,aguentar
succeed,ter sucesso
leg,perna
bid,oferta
Alice,Alice
hated,odiado
civilization,civilização
u.s.,nós.
acting,atuação
landed,pousado
Christians,Cristãos
passions,paixões
interior,interior
scarce,escasso
lightly,levemente
disturbed,perturbado
rev,rev
supreme,supremo
hang,aguentar
notwithstanding,a despeito de
shock,choque
exception,exceção
offering,oferta
display,exibição
strain,tensão
drank,bebido
confined,confinado
o,o
exhausted,Exausta
poets,poetas
sounded,soou
aim,mirar
critical,crítico
Jerusalem,Jerusalém
directions,instruções
negro,negro
fearful,temeroso
standard,padrão
studied,estudou
bag,saco
n,n
buildings,edifícios
consequences,consequências
commenced,começou
deeper,Deeper
repeat,repita
driving,dirigindo
beasts,bestas
track,acompanhar
rid,livrar
holds,detém
residence,residência
steadily,firmemente
intimate,íntimo
drinking,bebendo
swear,xingar
treasure,Tesouro
fun,Diversão
throwing,jogando
apt,apto
enterprise,empreendimento
queer,queer
seed,semente
tower,torre
runs,corre
defend,defender
favourite,favorito
desires,desejos
heavily,fortemente
assembled,montado
existed,existia
depends,depende
poems,poemas
hesitated,hesitou
stuff,coisa
section,seção
settlement,assentamento
staring,encarando
sole,único
roads,estradas
plate,placa
Mexico,México
overcome,superar
pains,dores
performing,realizando
dwell,habitar
grounds,motivos
taxes,impostos
marble,mármore
recently,recentemente
tones,tons
ability,habilidade
awake,desperto
Walter,Walter
wave,aceno
shaking,tremendo
folk,povo
possibility,possibilidade
butter,manteiga
fury,fúria
marched,marchou
Moses,Moisés
writes,escreve
issued,emitido
sailed,navegou
instructions,instruções
hatred,ódio
pursuit,perseguir
pull,puxar
furniture,mobília
additions,aditivos
hid,escondido
rope,corda
vi,vi
adventure,aventura
royalty,realeza
vanished,desapareceu
arts,artes
elder,mais velho
signal,sinal
wanting,querendo
supplied,fornecido
feast,celebração
safely,com segurança
burn,queimar
describe,descrever
references,referências
lesson,lição
annual,anual
card,cartão
passes,passa
application,aplicativo
intelligent,inteligente
county,município
beaten,espancado
presents,presentes
format,formato
flow,fluxo
sixty,sessenta
scale,régua
damage,dano
marks,marcas
obtaining,obtendo
moreover,além disso
commerce,comércio
startled,assustado
southern,sulista
consequently,consequentemente
outer,exterior
belongs,pertence
ben,ben
wrought,forjado
average,média
naked,nu
conducted,conduzido
rivers,rios
songs,músicas
obvious,óbvio
foundation,Fundação
concern,preocupação
ceremony,cerimônia
magic,Magia
campaign,campanha
hunting,Caçando
Carolina,Carolina
liberal,liberal
whisper,sussurrar
largely,largamente
commonly,comumente
torn,rasgado
exists,existe
contributions,contribuições
hunt,caçar
teacher,professor
Christianity,cristandade
lawyer,advogado
operations,operações
detail,detalhe
shortly,Em breve
Caesar,César
wondering,imaginando
leaders,líderes
blessing,bênção
princess,Princesa
he'd,ele tinha
altar,altar
tenderness,ternura
tiny,muito pequeno
web,rede
cardinal,cardeal
sharply,agudamente
regiment,regimento
chest,peito
distinctly,distintamente
purple,roxa
creating,criando
gather,reunir
depth,profundidade
indignation,indignação
performance,atuação
election,eleição
prosperity,prosperidade
gloomy,sombrio
conception,concepção
clerk,escriturário
decide,decidir
drunk,bêbado
victim,vítima
reflected,refletido
pour,derramar
preceding,precedente
individuals,indivíduos
gazing,olhando
absurd,absurdo
lift,lift
gesture,gesto
armies,exércitos
limbs,membros
manage,gerir
brethren,irmãos
Hugh,Hugo
plays,tocam
hastened,apressado
dragged,arrastaram
motive,motivo
whatsoever,de jeito nenhum
pointing,apontando
verses,versos
pronounced,pronunciado
exchange,troca
definite,definido
emperor,imperador
tendency,tendência
remote,controlo remoto
finish,Finalizar
flag,bandeira
boots,botas
enabled,ativado
administration,administração
denied,negado
churches,igrejas
rarely,raramente
earnestly,sinceramente
considering,considerando
previously,anteriormente
ugly,feio
bears,ursos
signed,assinado
genuine,genuíno
harmless,inofensivo
mingled,misturado
obedience,obediência
walks,anda em
training,Treinamento
badly,seriamente
feed,alimentar
central,central
contrast,contraste
relieved,aliviado
romance,romance
Mississippi,Mississipi
structure,estrutura
payment,Forma de pagamento
pace,ritmo
passages,passagens
succession,sucessão
persuaded,persuadido
sources,fontes
inquiry,investigação
inspired,inspirado
angels,anjos
roll,rolar
wilt,murchar
inch,polegada
troubles,problemas
perfection,perfeição
Lee,Lee
wherever,onde quer que
owe,dever
handle,lidar com
advantages,vantagens
trip,viagem
shoot,atirar
fortunate,afortunado
newspaper,jornal
employment,emprego
fitted,montado
refuge,refúgio
misfortune,infortúnio
providence,providência
owns,possui
cutting,corte
beard,barba
stirred,mexido
tear,rasgar
Dan,Dan
resist,resistir
Bob,Prumo
depths,profundidades
maiden,donzela
determine,determinar
commission,comissão
merchant,comerciante
whereas,enquanto
crossing,cruzando
independence,independência
lively,vivaz
breeze,brisa
provinces,províncias
Jean,Jean
virtues,virtudes
conceived,concebida
relative,relativo
solitary,solitário
smell,cheiro
wandering,vagando
thereby,deste modo
eighteen,dezoito
locked,bloqueado
provision,provisão
courts,tribunais
eaten,comido
historical,histórico
regarding,a respeito de
Florence,Florença
preferred,preferido
pick,escolher
ruined,arruinado
wherein,em que
vanity,vaidade
condemned,condenado
deliver,entregar
unexpected,inesperado
desk,escrivaninha
gross,Bruto
lane,faixa
happens,acontece
represent,representar
Billy,Billy
root,raiz
Holland,Holanda
mud,lama
respectable,respeitável
cleared,limpo
feels,sentimentos
fruits,frutas
testimony,testemunho
Milton,Milton
existing,existir
bride,noiva
rang,tocou
ranks,fileiras
responsibility,responsabilidade
beating,espancamento
disappointed,decepcionado
suitable,adequado
depend,depender
judges,juízes
giant,gigante
grasp,aperto
arrive,chegar
simplicity,simplicidade
autumn,outono
absent,ausente
legally,legalmente
veil,véu
gloom,melancolia
doubtful,duvidoso
suspect,suspeito
weapons,armas
limits,limites
determination,determinação
feeble,fraco
prophet,profeta
Shak,Agitar
gathering,reunião
basis,base
examine,examinar
corrupt,corrupto
payments,pagamentos
returns,retorna
laying,deitada
prize,prêmio
instances,instâncias
Greeks,gregos
d,d
they're,eles estão
theatre,Teatro
purchase,comprar
comparison,comparação
composition,composição
rival,rival
someone,alguém
realize,entender
defeat,derrota
demands,demandas
foe,inimigo
shared,compartilhado
consists,consiste
studies,estudos
balance,Saldo
intercourse,relação sexual
ID,identificação
forming,formando
slender,delgado
coach,treinador
criminal,Criminoso
knocked,bateu
silly,boba
humour,humor
masses,massas
indifferent,indiferente
recall,lembrar
occupation,ocupação
discourse,discurso
keeps,mantém
regions,regiões
intervals,intervalos
assist,ajudar
novel,novela
intellect,intelecto
leads,conduz
hither,aqui
tales,contos
sale,oferta
revenge,vingança
Lucy,Lucy
yonder,além
resources,Recursos
jealous,com ciumes
we're,estamos
wheel,roda
invitation,convite
narrative,narrativa
risen,ressuscitado
burnt,queimado
sentiments,sentimentos
inferior,inferior
amusement,diversão
Marie,Maria
flash,instantâneo
recognize,reconhecer
swiftly,rapidamente
portrait,retrato
create,crio
summoned,convocado
suggest,sugerir
induced,induzido
conflict,conflito
fed,alimentado
curse,xingamento
disappointment,desapontamento
helpless,desamparado
preparing,preparando
construction,construção
Lincoln,Lincoln
zeal,zelo
responsible,responsável
indicated,indicado
groups,grupos
positive,positivo
Germans,alemães
attracted,atraído
vengeance,vingança
fort,forte
club,clube
cure,cura
stout,cerveja preta
missed,esquecidas
gracious,gracioso
include,incluir
flood,enchente
satisfy,satisfazer
agony,agonia
respects,respeita
ventured,aventureiro
implied,implícita
Maria,Maria
stupid,estúpido
seas,mares
Spaniards,espanhóis
grain,grão
enjoyment,prazer
wearing,vestindo
indifference,indiferença
conceal,esconder
horizon,horizonte
pleasures,prazeres
therein,lá no
precisely,precisamente
Canada,Canadá
day's,dias
assume,presumir
registered,registrado
estimate,estimativa
steep,íngreme
route,rota
gardens,jardins
visitor,Visitante
closer,mais perto
harmony,harmonia
non,não
thunder,Trovão
wire,fio
graceful,gracioso
crept,rastejou
Greece,Grécia
childhood,infância
knee,joelho
saddle,selim
supplies,suprimentos
weeping,chorando
mostly,majoritariamente
paragraphs,parágrafos
unconscious,inconsciente
mutual,mútuo
scorn,desprezo
grows,cresce
external,externo
agents,agentes
software,Programas
institutions,instituições
losing,perdendo
universe,universo
clock,relógio
attempts,tentativas
instruction,instrução
injury,prejuízo
roots,raízes
receipt,recibo
jumped,saltou
dearest,querido
sore,dolorido
earliest,mais cedo
finest,melhor
enable,habilitar
discipline,disciplina
motives,motivos
fastened,preso
introduction,introdução
converted,convertido
wilderness,região selvagem
confused,confuso
fancied,imaginado
offices,escritórios
slip,escorregar
revolution,revolução
wedding,Casamento
girl's,garotas
farmer,agricultor
silently,silenciosamente
fires,incêndios
wept,chorou
behalf,lado
reckon,Contar. avaliar
responded,respondeu
uncertain,incerto
neglected,negligenciado
stroke,acidente vascular encefálico
exquisite,exótico
engagement,noivado
dirty,sujo
rolling,rolando
platform,plataforma
messenger,mensageiro
privilege,privilégio
admirable,admirável
offers,ofertas
mischief,travessura
physician,médico
imposed,imposto
organized,organizado
covering,cobertura
student,aluna
daring,audaz
cave,caverna
wars,guerras
convey,comunicar
he'll,inferno
sincere,sincero
tradition,tradição
gravely,gravemente
combined,combinado
gallant,galante
sensation,sensação
travelling,viajando
charges,cobranças
submit,enviar
tragedy,tragédia
specific,específico
commander,comandante
inn,Pousada
stiff,rígido
accompany,acompanhar
score,pontuação
virgin,virgem
farewell,até a próxima
paradise,paraíso
villages,aldeias
hunger,fome
trembled,tremeu
favorite,favorito
criticism,crítica
proprietary,proprietário
customs,Alfândega
cotton,algodão
Ruth,Rute
hospital,hospital
restrictions,restrições
outward,para fora
impressed,impressionado
blows,golpes
plains,planícies
flashed,brilhou
rent,renda
prey,presa
owed,devido
longing,anseio
musical,musical
satisfactory,satisfatório
ridiculous,ridículo
sheet,Folha
disgrace,desgraça
colored,colori
shouldn't,não deveria
originally,originalmente
Samuel,Samuel
wages,remunerações
papa,papai
gas,gás
inevitable,inevitável
extensive,extenso
leisure,lazer
deadly,mortal
chin,queixo
claimed,reivindicado
glow,brilho
husband's,do marido
emotions,emoções
Adam,Adão
jealousy,ciúmes
leaf,Folha
publication,publicação
Englishman,inglês
Allah,Alá
Jones,Jones
hostile,hostil
wandered,vagueou
railway,estrada de ferro
translation,tradução
procession,procissão
betrayed,traído
pound,libra
admired,admirado
elected,eleito
Pierre,Pierre
sunk,afundado
ruins,ruínas
eastern,Oriental
roses,rosas
citizen,cidadão
reminded,lembrado
deceived,enganado
tables,mesas
beach,de praia
starting,iniciando
funeral,funeral
arrested,preso
flour,farinha de trigo
feature,característica
correspondence,correspondência
consisted,consistiu
counted,contado
reserve,reserva
proceedings,procedimentos
roar,rugido
romantic,romântico
twenty-five,vinte e cinco
hut,cabana
strangely,estranhamente
absorbed,absorvido
propose,propor
seats,assentos
bark,latido
reception,recepção
pleasing,agradável
attained,alcançou
wake,acordar
research,pesquisa
prayed,orou
monarch,monarca
clothing,roupas
dollar,dólar
illness,doença
calmly,calmamente
obeyed,obedeceu
heartily,cordialmente
pressing,pressionando
daylight,luz do dia
warriors,guerreiros
jest,brincadeira
abruptly,abruptamente
washed,lavado
comment,Comente
metal,metal
preparations,preparações
nerves,nervos
solution,solução
pretended,fingido
sixteen,dezesseis
assembly,conjunto
tobacco,tabaco
entity,entidade
dwelling,habitação
depart,partir
swung,balançado
bitterly,amargamente
alteration,alteração
colony,colônia
disclaimers,isenções de responsabilidade
wing,ASA
peaceful,Pacífico
lion,leão
opportunities,oportunidades
alarmed,alarmado
furnish,fornecer
resting,em repouso
accused,acusado
culture,cultura
writings,escritos
dwelt,morava
conquered,conquistado
trick,truque
trusted,confiável
column,coluna
financial,financeiro
cunning,ardiloso
preparation,preparação
drama,drama
joke,Piada
entertained,entretido
mist,névoa
hypertext,hipertexto
shell,Concha
medicine,remédio
proofread,revisar
nest,ninho
reverence,reverência
situated,situado
yielded,rendeu
conceive,conceber
appointment,compromisso
lessons,lições
fetch,buscar
tomb,túmulo
candle,vela
offence,ofensa
coarse,grosseiro
heap,amontoar
mixture,mistura
homes,casas
model,modelo
men's,masculino
defect,defeito
destined,destinado
occasional,ocasional
fourteen,quatorze
hint,dica
knights,cavaleiros
solicit,solicitar
dreamed,sonhou
objection,objeção
craft,construir
acid,ácido
namely,nomeadamente
Asia,Ásia
neglect,negligência
data,dados
weapon,arma
confessed,confessado
arrangements,arranjos
repose,repouso
complying,cumprindo
copied,copiado
pink,cor de rosa
user,do utilizador
heels,calcanhares
grandfather,Vovô
other's,outras
income,renda
i.e.,ou seja
regards,Saudações
streams,fluxos
vigorous,vigoroso
accepting,aceitando
bishop,bispo
lightning,raio
authors,autores
flames,chamas
observations,observações
compressed,comprimido
sport,esporte
powder,em pó
beds,camas
orange,laranja
painting,pintura
shout,gritar
Austria,Áustria
bath,banho de banheira
careless,descuidado
chap,indivíduo
derivative,derivado
roused,excitado
primitive,primitivo
doorway,entrada
climbed,escalado
volumes,volumes
vulgar,vulgar
arguments,argumentos
1st,1º
sunset,pôr do sol
convenient,conveniente
mail,correspondência
recalled,recordado
wrapped,envolto
abode,morada
planted,plantou
paint,pintar
surrender,render
establish,estabelecer
mild,suave
promptly,prontamente
appearing,aparecendo
department,departamento
parish,freguesia
Stephen,Stephen
nay,não
lit,aceso
handkerchief,lenço
basket,cesta
easier,mais fácil
deserve,merecer
quit,Sair
assurance,garantia
mirror,espelho
plot,enredo
yer,yer
upward,para cima
sadly,Infelizmente
secretary,secretário
adding,adicionando
modest,modesto
dish,prato
cares,cuidados
straw,Palha
net,internet
advised,aconselhado
heavenly,celestial
largest,maior
proceeding,processo
impatient,impaciente
wounds,ferimentos
warmth,cordialidade
certainty,certeza
restless,sem descanso
meantime,entretanto
rays,raios
salvation,salvação
lovers,amantes
experiment,experimentar
shores,margens
today,hoje
tremendous,tremendo
afforded,permitido
moonlight,luar
intend,pretende
California,Califórnia
cultivated,cultivado
flushed,corado
Shakespeare,Shakespeare
newspapers,jornais
rocky,rochoso
pious,piedoso
wont,não vai
steam,vapor
improvement,melhoria
garments,roupas
Ned,Ned
treasury,tesouraria
merchants,comerciantes
perpetual,perpétuo
trained,treinado
products,produtos
affectionate,afetuoso
dispute,disputa
visitors,visitantes
poison,Poção
proposition,proposição
maybe,pode ser
rifle,rifle
warned,avisou
parting,despedida
shield,escudo
erected,erigido
employ,empregar
prevailed,prevaleceu
talent,talento
rises,sobe
climate,clima
chairs,cadeiras
searched,procurou
unlike,diferente
recover,recuperar
mate,amigo
arrange,arranjo
fortunes,fortunas
puzzled,intrigado
committee,comitê
aged,envelhecido
Ohio,Ohio
ashes,cinzas
ghost,fantasma
b,b
promises,promessas
bushes,arbustos
effective,eficaz
distinguish,distinguir
manifest,manifesto
comparatively,comparativamente
esteem,estima
blew,estraguei
revelation,revelação
wash,lavagem
recognition,reconhecimento
confession,confissão
clay,argila
nonsense,Absurdo
trunk,tronco
management,gestão
undoubtedly,sem dúvida
dried,seco
Dorothy,Dorothy
chiefs,chefes
coal,carvão
stolen,roubado
earthly,terreno
restore,restaurar
indirectly,indiretamente
lasted,durado
selfish,egoísta
renewed,renovado
canoe,canoa
protest,protesto
vice,vício
races,corridas
deemed,considerado
temporary,temporário
pile,pilha
Frederick,Frederico
chapel,capela
moderate,moderado
spell,feitiço
Massachusetts,Massachusetts
upright,ereto
quoted,citado
area,área
bone,osso
solitude,solidão
instruments,instrumentos
formal,formal
students,estudantes
greatness,grandeza
struggling,me esforçando
Monday,segunda-feira
reproach,censura
altered,alterado
grim,sinistro
leaped,saltou
Venice,Veneza
federal,Federal
questioned,questionado
editor,editor
desirable,desejável
acknowledge,reconhecer
motionless,imóvel
remedy,remédio
bestowed,concedido
pursue,perseguir
representative,representante
pole,pólo
gladly,de bom grado
linen,linho
vital,vital
sink,Pia
pacific,pacífico
hopeless,sem esperança
dangers,perigos
gratefully,agradecido
president,Presidente
travelled,viajei
ward,ala
nephew,sobrinho
ms,em
cheer,alegrar
bloody,sangrento
siege,cerco
commands,comandos
